country_code,country_name,gdp,population,gdp_per_head,gold,silver,bronze,total
JPN,Japan,4212945159781,124516650,33834,6,2,4,12
FRA,France,3030904089607,68170228,44460,5,8,3,16
CHN,China,17794781986104,1410710000,12614,5,5,2,12
AUS,Australia,1723827215334,26638544,64711,5,4,0,9
KOR,"Korea, Rep.",1712792854202,51712619,33121,5,3,2,10
USA,United States,27360935000000,334914895,81695,3,8,9,20
GBR,United Kingdom,3340032380668,68350000,48866,2,5,3,10
ITA,Italy,2254851212731,58761146,38373,2,3,3,8
CAN,Canada,2140085567791,40097761,53371,2,1,2,5
HKG,"Hong Kong SAR, China",382054574298,7536100,50696,2,0,1,3
GER,Germany,4456081016705,84482267,52745,2,0,0,2
KAZ,Kazakhstan,261421121085,19900177,13136,1,0,2,3
RSA,South Africa,377781600985,60414495,6253,1,0,2,3
BEL,Belgium,632216577075,11822592,53475,1,0,1,2
AZE,Azerbaijan,72356176470,10112555,7155,1,0,0,1
ROM,Romania,351002579629,19056116,18419,1,0,0,1
SRB,Serbia,75187125426,6618026,11360,1,0,0,1
UZB,Uzbekistan,90889149306,36412350,2496,1,0,0,1
BRA,Brazil,2173665655937,216422446,10043,0,1,2,3
SWE,Sweden,593267701033,10536632,56305,0,1,2,3
TKE,Turkiye,1108022373259,85326000,12985,0,1,1,2
FIJ,Fiji,5494797540,936375,5868,0,1,0,1
KOS,Kosovo,10438351483,1756374,5943,0,1,0,1
MGL,Mongolia,19872180369,3447157,5764,0,1,0,1
POL,Poland,811229100687,36685849,22112,0,1,0,1
TUN,Tunisia,48529595416,12458223,3895,0,1,0,1
IND,India,3549918918777,1428627663,2484,0,0,2,2
MDA,Moldova,16539436547,2486891,6650,0,0,2,2
CRO,Croatia,82688842717,3853200,21459,0,0,1,1
EGY,"Egypt, Arab Rep.",395926075163,112716598,3512,0,0,1,1
ESP,Spain,1580694712515,48373336,32676,0,0,1,1
HUN,Hungary,212388906458,9589872,22147,0,0,1,1
EIR,Ireland,545629450403,5262382,103684,0,0,1,1
MEX,Mexico,1788886821046,128455567,13926,0,0,1,1
SUI,Switzerland,884940402230,8849852,99994,0,0,1,1
SVK,Slovak Republic,132793622283,5426740,24470,0,0,1,1
UKR,Ukraine,178757021386,37000000,4831,0,0,1,1
