Country Code,Country Name,GDP,Population
ABW,Aruba,N/A,106277
AFE,Africa Eastern and Southern,1236163044999.97,739108306
AFG,Afghanistan,N/A,42239854
AFR,Africa,N/A,N/A
AFW,Africa Western and Central,796586157553.094,502789511
AGO,Angola,84722957642.3757,36684202
ALB,Albania,22977677860.7979,2745972
AND,Andorra,3727673593.01922,80088
ARB,Arab World,3491516939569.88,473272080
ARE,United Arab Emirates,504173451327.434,9516871
ARG,Argentina,640591410663.883,46654581
ARM,Armenia,24212134631.064,2777970
ASM,American Samoa,N/A,43914
ATG,Antigua and Barbuda,2033085185.18518,94298
AUS,Australia,1723827215334.71,26638544
AUT,Austria,516034144115.95,9132383
AZE,Azerbaijan,72356176470.5882,10112555
BDI,Burundi,2642161668.92754,13238559
BEA,East Asia & Pacific (IBRD-only countries),N/A,N/A
BEC,Europe & Central Asia (IBRD-only countries),N/A,N/A
BEL,Belgium,632216577075.109,11822592
BEN,Benin,19673284686.0023,13712828
BFA,Burkina Faso,20324617838.9676,23251485
BGD,Bangladesh,437415331040.994,172954319
BGR,Bulgaria,101584384672.786,6430370
BHI,IBRD countries classified as high income,N/A,N/A
BHR,Bahrain,43205000000,1485509
BHS,"Bahamas, The",14338500000,412623
BIH,Bosnia and Herzegovina,27054889362.8852,3210847
BLA,Latin America & the Caribbean (IBRD-only countries),N/A,N/A
BLR,Belarus,71857382745.6066,9178298
BLZ,Belize,3281500000,410825
BMN,Middle East & North Africa (IBRD-only countries),N/A,N/A
BMU,Bermuda,N/A,63489
BOL,Bolivia,45849832906.4139,12388571
BRA,Brazil,2173665655937.27,216422446
BRB,Barbados,6393564189.61345,281995
BRN,Brunei Darussalam,15128292953.5098,452524
BSS,Sub-Saharan Africa (IBRD-only countries),N/A,N/A
BTN,Bhutan,N/A,787424
BWA,Botswana,19395765126.3127,2675352
CAA,Sub-Saharan Africa (IFC classification),N/A,N/A
CAF,Central African Republic,2555492085.24831,5742315
CAN,Canada,2140085567791.45,40097761
CEA,East Asia and the Pacific (IFC classification),N/A,N/A
CEB,Central Europe and the Baltics,2252970882003.43,100156608
CEU,Europe and Central Asia (IFC classification),N/A,N/A
CHE,Switzerland,884940402230.409,8849852
CHI,Channel Islands,N/A,175346
CHL,Chile,335533331669.219,19629590
CHN,China,17794781986104.5,1410710000
CIV,Cote d'Ivoire,78788828906.8634,28873034
CLA,Latin America and the Caribbean (IFC classification),N/A,N/A
CME,Middle East and North Africa (IFC classification),N/A,N/A
CMR,Cameroon,47945510090.0529,28647293
COD,"Congo, Dem. Rep.",66383287002.9969,102262808
COG,"Congo, Rep.",15321055818.3263,6106869
COL,Colombia,363540156234.868,52085168
COM,Comoros,1352380972.15662,852075
